"Time, GMT-04:00",Date,Time,Pulaski,Sombrero,Molasses,Fowey
01/03/2010 09:15,1/3/2010,09:15,22.369,22.489,23.208,23.448
01/03/2010 09:30,1/3/2010,09:30,22.274,22.968,23.184,23.328
01/03/2010 09:45,1/3/2010,09:45,22.202,23.256,23.184,23.304
01/03/2010 10:00,1/3/2010,10:00,22.274,23.352,23.16,23.28
01/03/2010 10:15,1/3/2010,10:15,22.321,23.4,23.088,23.376
01/03/2010 10:30,1/3/2010,10:30,22.369,23.424,23.16,23.545
01/03/2010 10:45,1/3/2010,10:45,22.393,23.448,23.184,23.713
01/03/2010 11:00,1/3/2010,11:00,22.417,23.448,23.208,23.785
01/03/2010 11:15,1/3/2010,11:15,22.441,23.472,23.208,23.737
01/03/2010 11:30,1/3/2010,11:30,22.465,23.448,23.208,23.737
01/03/2010 11:45,1/3/2010,11:45,22.465,23.472,23.208,23.713
01/03/2010 12:00,1/3/2010,12:00,22.465,23.424,23.208,23.737
01/03/2010 12:15,1/3/2010,12:15,22.441,23.424,23.088,23.737
01/03/2010 12:30,1/3/2010,12:30,22.417,23.4,22.681,23.617
01/03/2010 12:45,1/3/2010,12:45,22.441,23.352,21.987,23.569
01/03/2010 13:00,1/3/2010,13:00,22.441,23.304,20.96,23.569
01/03/2010 13:15,1/3/2010,13:15,22.417,23.256,20.055,23.617
01/03/2010 13:30,1/3/2010,13:30,22.417,23.232,19.865,23.641
01/03/2010 13:45,1/3/2010,13:45,22.417,23.232,20.007,23.641
01/03/2010 14:00,1/3/2010,14:00,22.417,23.208,20.269,23.617
01/03/2010 14:15,1/3/2010,14:15,22.345,23.16,20.507,23.545
01/03/2010 14:30,1/3/2010,14:30,22.298,23.16,20.674,23.545
01/03/2010 14:45,1/3/2010,14:45,22.154,23.112,20.865,23.448
01/03/2010 15:00,1/3/2010,15:00,22.058,23.064,20.913,22.992
01/03/2010 15:15,1/3/2010,15:15,22.13,23.016,21.008,22.753
01/03/2010 15:30,1/3/2010,15:30,22.154,22.92,21.056,22.681
01/03/2010 15:45,1/3/2010,15:45,22.226,22.824,21.056,22.681
01/03/2010 16:00,1/3/2010,16:00,22.321,22.776,20.936,22.705
01/03/2010 16:15,1/3/2010,16:15,22.393,22.633,20.913,22.609
01/03/2010 16:30,1/3/2010,16:30,22.441,22.585,20.936,22.441
01/03/2010 16:45,1/3/2010,16:45,22.465,22.561,21.151,22.321
01/03/2010 17:00,1/3/2010,17:00,22.465,22.489,21.867,22.202
01/03/2010 17:15,1/3/2010,17:15,22.465,22.417,22.729,22.058
01/03/2010 17:30,1/3/2010,17:30,22.441,22.274,22.968,21.891
01/03/2010 17:45,1/3/2010,17:45,22.441,22.202,22.896,21.795
01/03/2010 18:00,1/3/2010,18:00,22.441,22.13,22.776,21.772
01/03/2010 18:15,1/3/2010,18:15,22.441,22.058,22.058,21.724
01/03/2010 18:30,1/3/2010,18:30,22.417,22.011,21.581,21.724
01/03/2010 18:45,1/3/2010,18:45,22.441,21.867,22.753,21.724
01/03/2010 19:00,1/3/2010,19:00,22.417,21.724,23.064,21.915
01/03/2010 19:15,1/3/2010,19:15,22.417,21.533,23.208,22.25
01/03/2010 19:30,1/3/2010,19:30,22.417,21.342,23.256,22.753
01/03/2010 19:45,1/3/2010,19:45,22.417,21.199,23.328,22.8
01/03/2010 20:00,1/3/2010,20:00,22.393,21.175,23.328,22.968
01/03/2010 20:15,1/3/2010,20:15,22.393,21.151,23.352,23.112
01/03/2010 20:30,1/3/2010,20:30,22.393,21.103,23.352,23.16
01/03/2010 20:45,1/3/2010,20:45,22.369,21.103,23.352,23.184
01/03/2010 21:00,1/3/2010,21:00,22.345,21.079,23.328,23.184
01/03/2010 21:15,1/3/2010,21:15,22.321,21.056,23.304,23.184
01/03/2010 21:30,1/3/2010,21:30,22.298,21.056,23.28,23.16
01/03/2010 21:45,1/3/2010,21:45,22.274,20.913,23.304,23.016
01/03/2010 22:00,1/3/2010,22:00,22.25,20.913,23.28,23.064
01/03/2010 22:15,1/3/2010,22:15,22.226,21.151,23.304,23.088
01/03/2010 22:30,1/3/2010,22:30,22.202,20.96,23.28,23.112
01/03/2010 22:45,1/3/2010,22:45,22.202,20.936,23.28,23.088
01/03/2010 23:00,1/3/2010,23:00,22.178,21.366,23.304,23.064
01/03/2010 23:15,1/3/2010,23:15,22.13,21.223,23.352,22.968
01/03/2010 23:30,1/3/2010,23:30,22.106,21.7,23.376,22.896
01/03/2010 23:45,1/3/2010,23:45,22.082,22.537,23.376,22.824
01/04/2010 00:00,1/4/2010,00:00,22.058,22.705,23.328,22.824
01/04/2010 00:15,1/4/2010,00:15,22.058,22.729,23.304,22.8
